id,date,start,end,status,session_id,workstream
WS-001,2026-08-10,08:00,12:30,done,,"Scaffolded FRM10-12 staging repo; added workbook, Power Query source, SharePoint list exports [reconstructed from git history]"
WS-002,2026-08-10,14:00,18:30,done,,"Started Model Revisions migration: repointed model-spec fields (JS #, kVA, oil/core type, phases, cable/form/coil, description) off Models onto Model Revisions [reconstructed from git history]"
WS-003,2026-08-11,09:00,17:00,done,,Finished Model Revisions migration (GUID-based lookup); built Sync-PowerQuery.ps1; added ColumnMap.pq + reorganized power-query/; removed dead hyperlink code/orphaned queries; fixed Office Script refresh hang; code review fixes on TableOrders.pq; repointed Navigation Model hyperlinks; merged live TableOrders data into staging [reconstructed from git history]
WS-004,2026-08-12,09:00,11:00,done,,Removed legacy ProductSTD sheet/table and its orphaned connection; removed 5 orphaned connection objects left behind by earlier deleted queries [reconstructed from git history; project split estimated from commit timing]
WS-005,2026-08-27,00:42,02:57,done,16aa66e2-09a0-44c7-80c2-4ac2df6c3082,"Data-loss investigation + recovery tooling: grilled/domain-modeled the problem, root-caused TableOrders.pq's job-line-granularity bug (Filtered New Orders keys on Order Number+Qty+SA, not the job-line, explaining both missing orders and blanked manual fields); built Compare-ArchiveToLive.ps1 (dry-run Excel-Table report: Missing Orders/Field Diffs/Conflicts/Suspicious Blank Rows) + Apply-ArchiveRecovery.ps1 (COM-based apply, snapshots first); iterated Conflicts-tab benign-signal heuristics (Location production sequence, Status month/day parsing, EC date-placeholder, justification-text extension) per client-domain corrections; fixed a GitHub auth mixup blocking push. No Apply run yet - user reviewing report with client before further recovery."
WS-006,2026-08-27,09:00,12:30,done,16aa66e2-09a0-44c7-80c2-4ac2df6c3082,"Client review feedback: Conflicts confirmed all benign (live just currently ahead), Suspicious Blank Rows confirmed all new orders, Field Diffs approved to apply in full; new rule for old Missing Orders (all progress dates pre-2025) - mark complete in archive (Location=LI + Delivery Date) instead of restoring into live. Split Missing Orders into recent-vs-old tabs, dropped Conflicts/Suspicious Blank Rows tabs from the report per client request. Waiting on client to review the remaining 49 recent Missing Orders and on a fresh FRM10-12 copy before running Apply."
WS-007,2026-08-27,13:03,17:30,done,16aa66e2-09a0-44c7-80c2-4ac2df6c3082,"SharePoint migration (while waiting on data-recovery client review): planned + started the FRM10-12 workbook's conversion into a read-only SharePoint-mirrored viewer, isolated under a new viewer/ subfolder (own workbook/power-query/office-scripts/scripts copies, current live-editing FRM10-12 untouched). Rewrote TableOrders.pq as a pure Order Items pull (no self-reference, no preserve-on-no-match, no new-orders-detection - structurally forecloses the job-line data-loss bug from CONTEXT.md); added Order Items entity to ColumnMap.pq; pushed via a copied Sync-PowerQuery.ps1. Remaining: formatting, conditional-formatting rebuild, Navigation Order Items column, verification - gated on the user test-refreshing the new query in Excel first."
WS-008,2026-08-28,03:23,03:55,done,16aa66e2-09a0-44c7-80c2-4ac2df6c3082,"Completed the FRM10-12 archive recovery: merged the client's verified Approved decisions (26 approve / 23 reject of 49 recent Missing Orders) into a fresh report against the user's updated live copy; extended Apply-ArchiveRecovery.ps1 so rejected Missing Orders get the same archive-completion treatment as pre-2025 Old Orders (Location=LI + last-completed-step date) instead of being silently skipped. First real -Apply run crashed on a PowerShell/COM Value-setter cast bug (never exercised before, since every prior run was a dry-run) - fixed by writing via Value2 with explicit typing, verified safe on disposable copies, then re-ran for real: 26 orders restored into live, 175 fields filled, 300 orders marked complete in the archive (284 old + 16 newly derived), 7 rejected orders flagged for manual attention (no computable date). Snapshots and changes committed/pushed."
WS-009,2026-08-28,03:55,05:28,done,16aa66e2-09a0-44c7-80c2-4ac2df6c3082,"Post-recovery SharePoint propagation: built Build-MissingSharePointOrders.ps1 (found only 1 of 17 restored parent orders - 21884 - actually missing from the SharePoint Order list export; the other 16 already existed there). Root-caused why the Model/order-level fields still weren't refreshing after the user's own manual SharePoint edits: TableOrders.pq's Orders merge is keyed on {Order Number, Qty, SA Job} together, and Qty (a merge-key field, not a manual one) was never restored by the archive-recovery pass - so no amount of refreshing could find a match. Built Fill-RestoredOrderMergeKeys.ps1 to fix Qty instead of patching PO Item # directly, then built a plain Order+Qty table on the user's request so they could paste it in by hand instead of me running -Apply. Validated the user's updated workbook afterward: all 25 fixable orders now correctly pulled PO Item #/Order Date/Client/JS #/KVA through the normal SharePoint merge; confirmed the 6 extra rows beyond expected count were all job-lines of one legitimate new order (22143, Nashville Electric) the user confirmed was created yesterday - nothing missing, nothing anomalous. Also confirmed no orphaned Excel/PowerShell processes were left running."
WS-010,2026-08-28,12:00,18:15,done,16aa66e2-09a0-44c7-80c2-4ac2df6c3082,"Urgent: live FRM10-12 got corrupted (Excel forced a repair-on-open), which broke TableOrders' table state and renamed 3 trailing columns (Manual Estimated Delivery Date, Price Value, BO) to Column1/2/3. Root-caused: concurrent Excel Online editing + a long Office Script refresh (stuck at step 8) led to a forced repair that severed TableOrders' Table-to-query binding entirely (SourceType downgraded to plain range, QueryTable empty) - the query itself stayed intact, which is why Power Query editor previews looked fine while the Office Script hung forever waiting on a refresh signal from a binding that no longer existed. Validated a safe rebind (Load To a blank area, bound to the still-intact connection) on a disposable copy: confirmed zero in-progress order data lost (the only orders dropped by a fresh pull were 34 already Location=LI/AN, completions that piled up unpurged since the 25th while the refresh was stuck) and gave the user manual step-by-step Excel instructions to redo it on the live file. User confirmed it worked."
